"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"Citizenship","Received","31/08/2024","Micronesia (Federated States of)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Moldova (the Republic of)","51","59","44","34","26","33","45","20"
"Citizenship","Received","31/08/2024","Monaco","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Mongolia","16","13","23","36","54","61","51","24"
"Citizenship","Received","31/08/2024","Montenegro","*","*","0","*","0","*","*","0"
"Citizenship","Received","31/08/2024","Montserrat","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Morocco","45","41","46","44","41","66","83","21"
"Citizenship","Received","31/08/2024","Mozambique","*","*","*","0","*","0","*","0"
"Citizenship","Received","31/08/2024","Myanmar","*","*","8","6","*","5","10","*"
"Citizenship","Received","31/08/2024","Namibia","4","0","*","0","0","0","*","0"
"Citizenship","Received","31/08/2024","Nauru","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Nepal","33","29","31","24","33","31","75","42"
"Citizenship","Received","31/08/2024","Netherlands (the)","7","10","10","9","9","18","21","11"
"Citizenship","Received","31/08/2024","New Caledonia","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","New Zealand","21","29","29","25","26","36","31","19"
"Citizenship","Received","31/08/2024","Nicaragua","0","*","*","*","4","6","6","*"
"Citizenship","Received","31/08/2024","Niger (the)","*","*","*","*","*","*","*","0"
"Citizenship","Received","31/08/2024","Nigeria","717","841","732","703","715","972","1044","356"
"Citizenship","Received","31/08/2024","Niue","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Norfolk Island","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","North Macedonia","5","9","*","4","*","9","9","6"
"Citizenship","Received","31/08/2024","Northern Mariana Islands (the)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Norway","*","0","0","*","*","0","8","*"
"Citizenship","Received","31/08/2024","Oman","0","*","0","0","0","*","*","*"
"Citizenship","Received","31/08/2024","Pakistan","661","716","684","706","1037","1199","1273","413"
"Citizenship","Received","31/08/2024","Palau","0","0","0","0","0","*","0","0"
"Citizenship","Received","31/08/2024","Palestine, State of","34","10","33","26","40","66","50","19"
"Citizenship","Received","31/08/2024","Panama","*","0","0","0","*","*","*","0"
"Citizenship","Received","31/08/2024","Papua New Guinea","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Paraguay","0","*","*","*","*","*","5","0"
"Citizenship","Received","31/08/2024","Peru","8","11","7","7","7","14","13","10"
"Citizenship","Received","31/08/2024","Philippines (the)","429","377","307","197","360","636","888","378"
"Citizenship","Received","31/08/2024","Pitcairn","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Poland","1812","1806","1115","809","681","777","890","466"
"Citizenship","Received","31/08/2024","Portugal","18","16","21","23","23","40","64","39"
"Citizenship","Received","31/08/2024","Puerto Rico","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Qatar","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Réunion","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Romania","1025","1067","959","786","585","915","1090","573"
"Citizenship","Received","31/08/2024","Russian Federation (the)","111","149","139","134","182","283","325","141"
"Citizenship","Received","31/08/2024","Rwanda","6","4","12","*","10","*","9","*"
"Citizenship","Received","31/08/2024","Saint Barthélemy","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Saint Helena, Ascension and Tristan da Cunha","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Saint Kitts and Nevis","0","0","0","0","0","*","*","0"
"Citizenship","Received","31/08/2024","Saint Lucia","0","*","*","0","*","0","*","0"
"Citizenship","Received","31/08/2024","Saint Martin (French part)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Saint Pierre and Miquelon","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Saint Vincent and the Grenadines","*","*","*","0","0","0","*","*"
"Citizenship","Received","31/08/2024","Samoa","0","0","0","0","*","0","0","0"
"Citizenship","Received","31/08/2024","San Marino","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Sao Tome and Principe","*","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Saudi Arabia","6","0","*","7","4","6","16","5"
"Citizenship","Received","31/08/2024","Senegal","5","*","4","*","4","4","8","*"
"Citizenship","Received","31/08/2024","Serbia","18","17","15","17","21","23","50","17"
"Citizenship","Received","31/08/2024","Seychelles","*","*","*","*","0","*","*","0"
"Citizenship","Received","31/08/2024","Sierra Leone","9","17","11","9","10","23","21","14"
"Citizenship","Received","31/08/2024","Singapore","*","6","*","*","*","7","*","*"
"Citizenship","Received","31/08/2024","Sint Maarten (Dutch part)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Slovakia","53","47","37","38","40","56","90","48"
"Citizenship","Received","31/08/2024","Slovenia","*","4","6","*","5","*","8","*"
"Citizenship","Received","31/08/2024","Solomon Islands","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Somalia","90","72","89","67","94","168","263","61"
"Citizenship","Received","31/08/2024","South Africa","204","235","219","223","250","437","677","312"
"Citizenship","Received","31/08/2024","South Georgia and the South Sandwich Islands","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","South Sudan","10","*","*","*","*","*","*","*"
"Citizenship","Received","31/08/2024","Spain","31","33","42","43","47","54","94","45"
"Citizenship","Received","31/08/2024","Sri Lanka","21","27","37","39","23","42","31","16"
"Citizenship","Received","31/08/2024","Sudan (the)","131","104","107","154","112","240","219","89"
